id,fecha,hora,velocidad_kmh,rafaga_kmh,direccion,direccion_rafaga
12915,2026-09-08,16:00:00,0.0,1.6,E,E
12916,2026-09-08,16:15:00,0.0,3.2,E,E
12917,2026-09-08,16:30:00,0.0,3.2,E,E
12918,2026-09-08,16:45:00,0.0,0.0,,
12919,2026-09-08,17:00:00,0.0,9.7,SW,SW
12920,2026-09-08,17:15:00,4.8,12.9,SW,WSW
12921,2026-09-08,17:30:00,4.8,16.1,SW,WSW
12922,2026-09-08,17:45:00,4.8,16.1,W,WSW
12923,2026-09-08,18:00:00,4.8,16.1,WSW,W
12924,2026-09-08,18:15:00,1.6,9.7,SW,SW
12925,2026-09-08,18:30:00,1.6,8.0,SW,SW
12926,2026-09-08,18:45:00,1.6,12.9,S,SW
12927,2026-09-08,19:00:00,3.2,12.9,W,SW
12928,2026-09-08,19:15:00,3.2,14.5,S,WSW
12929,2026-09-08,19:30:00,4.8,20.9,NNW,WSW
12930,2026-09-08,19:45:00,4.8,16.1,W,WSW
12931,2026-09-08,20:00:00,4.8,17.7,W,WSW
12932,2026-09-08,20:15:00,1.6,6.4,S,WSW
12933,2026-09-08,20:30:00,1.6,6.4,S,NE
12934,2026-09-08,20:45:00,0.0,8.0,S,NE
12935,2026-09-08,21:00:00,0.0,1.6,NNE,NE
12936,2026-09-08,21:15:00,0.0,1.6,NW,S
12937,2026-09-08,21:30:00,0.0,3.2,SW,SW
12938,2026-09-08,21:45:00,0.0,4.8,SW,SW
12939,2026-09-08,22:00:00,0.0,4.8,S,SW
12940,2026-09-08,22:15:00,0.0,6.4,SSW,SW
12941,2026-09-08,22:30:00,0.0,4.8,S,SW
12942,2026-09-08,22:45:00,0.0,8.0,SW,SW
12943,2026-09-08,23:00:00,0.0,4.8,WSW,W
12944,2026-09-08,23:15:00,1.6,9.7,SSW,SW
12945,2026-09-08,23:30:00,1.6,8.0,SW,SW
12946,2026-09-08,23:45:00,1.6,8.0,SW,SW
12947,2026-09-09,00:15:00,0.0,3.2,W,W
12948,2026-09-09,00:30:00,0.0,4.8,SSE,SW
12949,2026-09-09,00:45:00,1.6,8.0,SW,SW
12950,2026-09-09,01:00:00,1.6,8.0,SW,WSW
12951,2026-09-09,01:15:00,1.6,8.0,SSE,WSW
12952,2026-09-09,01:30:00,0.0,3.2,W,W
12953,2026-09-09,01:45:00,0.0,0.0,,
12954,2026-09-09,02:00:00,0.0,1.6,WSW,WSW
12955,2026-09-09,02:15:00,0.0,3.2,SSW,SSW
12956,2026-09-09,02:30:00,0.0,1.6,NE,NE
12957,2026-09-09,02:45:00,0.0,1.6,SSE,S
12958,2026-09-09,03:00:00,0.0,1.6,NE,NNW
12959,2026-09-09,03:15:00,0.0,1.6,SW,WNW
12960,2026-09-09,03:30:00,0.0,4.8,SSW,SSW
12961,2026-09-09,03:45:00,0.0,3.2,SSW,SSW
12962,2026-09-09,04:00:00,0.0,6.4,W,W
12963,2026-09-09,04:15:00,0.0,8.0,S,SW
12964,2026-09-09,04:30:00,0.0,6.4,SSW,SW
12965,2026-09-09,04:45:00,0.0,3.2,SW,SSW
12966,2026-09-09,05:00:00,0.0,3.2,WSW,WSW
12967,2026-09-09,05:15:00,1.6,6.4,WSW,SW
12968,2026-09-09,05:30:00,0.0,4.8,S,SSW
12969,2026-09-09,05:45:00,1.6,6.4,WSW,SW
12970,2026-09-09,06:00:00,0.0,4.8,SE,SSW
12971,2026-09-09,06:15:00,0.0,3.2,WSW,WSW
12972,2026-09-09,06:30:00,0.0,4.8,SW,SW
12973,2026-09-09,06:45:00,0.0,3.2,W,W
12974,2026-09-09,07:00:00,1.6,11.3,WSW,W
12975,2026-09-09,07:15:00,1.6,6.4,WSW,W
